id,scan_id,dimension,score,grade,record_types_evaluated
1,1,currentness,100,excellent,7
2,1,ttl_compliance,100,excellent,7
3,1,completeness,46.666668,degraded,7
4,1,source_credibility,100,excellent,4
5,1,ttl_relevance,21.428572,stale,7
6,2,currentness,100,excellent,7
7,2,ttl_compliance,100,excellent,7
8,2,completeness,46.666668,degraded,7
9,2,source_credibility,100,excellent,4
10,2,ttl_relevance,28.571428,degraded,7
11,3,currentness,100,excellent,7
12,3,ttl_compliance,100,excellent,7
13,3,completeness,46.666668,degraded,7
14,3,source_credibility,100,excellent,4
15,3,ttl_relevance,28.571428,degraded,7
16,4,currentness,100,excellent,7
17,4,ttl_compliance,100,excellent,7
18,4,completeness,46.666668,degraded,7
19,4,source_credibility,100,excellent,4
20,4,ttl_relevance,28.571428,degraded,7
21,5,currentness,100,excellent,2
22,5,ttl_compliance,100,excellent,2
23,5,completeness,13.333333,stale,2
24,5,source_credibility,100,excellent,4
25,5,ttl_relevance,25,degraded,2
26,6,currentness,100,excellent,2
27,6,ttl_compliance,100,excellent,2
28,6,completeness,13.333333,stale,2
29,6,source_credibility,100,excellent,4
30,6,ttl_relevance,25,degraded,2
31,7,currentness,100,excellent,7
32,7,ttl_compliance,100,excellent,7
33,7,completeness,46.666668,degraded,7
34,7,source_credibility,100,excellent,4
35,7,ttl_relevance,28.571428,degraded,7
36,8,currentness,100,excellent,2
37,8,ttl_compliance,100,excellent,2
38,8,completeness,13.333333,stale,2
39,8,source_credibility,100,excellent,4
40,8,ttl_relevance,25,degraded,2
41,9,currentness,100,excellent,6
42,9,ttl_compliance,100,excellent,6
43,9,completeness,40,degraded,6
44,9,source_credibility,100,excellent,4
45,9,ttl_relevance,58.333332,adequate,6
46,10,currentness,100,excellent,2
47,10,ttl_compliance,100,excellent,2
48,10,completeness,13.333333,stale,2
49,10,source_credibility,100,excellent,4
50,10,ttl_relevance,25,degraded,2
51,11,currentness,100,excellent,2
52,11,ttl_compliance,100,excellent,2
53,11,completeness,13.333333,stale,2
54,11,source_credibility,100,excellent,4
55,11,ttl_relevance,25,degraded,2
56,12,currentness,100,excellent,2
57,12,ttl_compliance,100,excellent,2
58,12,completeness,13.333333,stale,2
59,12,source_credibility,100,excellent,4
60,12,ttl_relevance,50,adequate,2
61,13,currentness,100,excellent,7
62,13,ttl_compliance,100,excellent,7
63,13,completeness,46.666668,degraded,7
64,13,source_credibility,100,excellent,4
65,13,ttl_relevance,42.857143,degraded,7
66,14,currentness,100,excellent,7
67,14,ttl_compliance,100,excellent,7
68,14,completeness,46.666668,degraded,7
69,14,source_credibility,100,excellent,4
70,14,ttl_relevance,28.571428,degraded,7
71,15,currentness,100,excellent,2
72,15,ttl_compliance,100,excellent,2
73,15,completeness,13.333333,stale,2
74,15,source_credibility,100,excellent,4
75,15,ttl_relevance,50,adequate,2
76,16,currentness,100,excellent,2
77,16,ttl_compliance,100,excellent,2
78,16,completeness,13.333333,stale,2
79,16,source_credibility,100,excellent,4
80,16,ttl_relevance,50,adequate,2
81,17,currentness,100,excellent,2
82,17,ttl_compliance,100,excellent,2
83,17,completeness,13.333333,stale,2
84,17,source_credibility,100,excellent,4
85,17,ttl_relevance,25,degraded,2
