id,domain,overall_score,overall_grade,resolver_count,record_count,app_version,created_at
1,google.com,73.61905,adequate,5,7,26.25.18,2026-02-23 03:26:55.697463
2,it-help.tech,75.04762,good,5,7,26.25.43,2026-02-24 00:45:01.563269
3,it-help.tech,75.04762,good,5,7,26.25.49,2026-02-24 03:44:11.995905
4,it-help.tech,75.04762,good,5,7,26.25.49,2026-02-24 03:47:27.6611
5,com,67.666664,adequate,5,2,26.25.52,2026-02-24 04:27:48.057654
6,com,67.666664,adequate,5,2,26.25.53,2026-02-24 04:52:23.96785
7,it-help.tech,75.04762,good,5,7,26.25.54,2026-02-24 05:08:08.454093
8,com,67.666664,adequate,5,2,26.25.54,2026-02-24 05:08:57.375691
9,example.com,79.666664,good,5,6,26.25.70,2026-02-24 15:08:17.967956
10,com,67.666664,adequate,5,2,26.25.82,2026-02-24 20:19:53.589611
11,com,67.666664,adequate,5,2,26.25.82,2026-02-24 20:21:22.365875
12,com,72.666664,adequate,5,2,26.25.82,2026-02-24 20:25:41.09577
13,google.com,77.90476,good,5,7,26.25.82,2026-02-24 20:28:05.433207
14,google.com,75.04762,good,5,7,26.25.82,2026-02-24 20:28:31.6037
15,com,72.666664,adequate,5,2,26.25.84,2026-02-25 00:39:57.053586
16,com,72.666664,adequate,5,2,26.25.85,2026-02-25 00:44:05.217158
17,com,67.666664,adequate,5,2,26.25.91,2026-02-25 04:39:53.94134
18,google.com,76.47619,good,5,7,26.25.92,2026-02-25 05:56:40.1683
19,it-help.tech,85.04762,good,5,7,26.25.92,2026-02-25 06:08:18.428779
20,it-help.tech,80.7619,good,5,7,26.26.08,2026-02-25 12:54:09.981778
21,dns-observe.com,80.666664,good,5,5,26.26.41,2026-02-26 18:04:31.576921
22,dns-observe.com,80.666664,good,5,5,26.26.41,2026-02-26 18:09:52.308021
23,surland.de,84.666664,good,5,6,26.27.03,2026-02-26 19:42:47.973034
24,it-help.tech,82.190475,good,5,7,26.27.07,2026-02-26 22:44:43.63492
25,it-help.tech,82.190475,good,5,7,26.27.13,2026-02-28 02:19:17.406094
26,com,72.666664,adequate,5,2,26.28.03,2026-02-28 03:35:35.430561
27,com,72.666664,adequate,5,2,26.28.03,2026-02-28 03:39:58.05282
28,com,72.666664,adequate,5,2,26.28.03,2026-02-28 03:45:57.389871
29,com,72.666664,adequate,5,2,26.28.04,2026-02-28 03:54:39.840088
30,com,67.666664,adequate,5,2,26.28.04,2026-02-28 03:57:29.982725
31,it-help.tech,82.190475,good,5,7,26.28.04,2026-02-28 04:06:58.897123
32,it-help.tech,82.190475,good,5,7,26.28.04,2026-02-28 04:12:54.792773
33,it-help.tech,76.47619,good,5,7,26.28.06,2026-02-28 04:39:34.460728
34,it-help.tech,77.90476,good,5,7,26.28.06,2026-02-28 04:42:54.789338
35,google.com,72.190475,adequate,5,7,26.28.06,2026-02-28 04:45:23.02692
36,example.com,71.333336,adequate,5,6,26.28.06,2026-02-28 04:46:32.195276
37,it-help.tech,79.333336,good,5,7,26.28.06,2026-02-28 04:47:08.4057
38,google.com,72.190475,adequate,5,7,26.28.09,2026-02-28 05:58:44.757712
39,example.com,71.333336,adequate,5,6,26.28.09,2026-02-28 06:00:01.471619
40,it-help.tech,82.190475,good,5,7,26.28.09,2026-02-28 06:28:20.010272
41,example.com,71.333336,adequate,5,6,26.28.11,2026-02-28 06:50:06.05401
42,example.com,73,adequate,5,6,26.28.11,2026-02-28 06:51:33.177551
43,example.com,73,adequate,5,6,26.28.11,2026-02-28 06:52:46.960385
44,example.com,69.666664,adequate,5,6,26.28.11,2026-02-28 06:53:13.156741
45,nlnetlabs.nl,68,adequate,5,6,26.28.34,2026-03-01 05:13:43.466333
46,nlnetlabs.nl,68,adequate,5,6,26.28.35,2026-03-01 05:16:46.45074
47,example.com,71.333336,adequate,5,6,26.33.85,2026-03-04 04:09:15.924345
