                                                   List of relations
 Schema |             Name              |   Type   |  Owner   | Persistence | Access method |    Size    | Description 
--------+-------------------------------+----------+----------+-------------+---------------+------------+-------------
 public | alembic_version               | table    | postgres | permanent   | heap          | 0 bytes    | 
 public | analysis_stats                | table    | postgres | permanent   | heap          | 0 bytes    | 
 public | analysis_stats_id_seq         | sequence | postgres | permanent   |               | 8192 bytes | 
 public | data_governance_events        | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | data_governance_events_id_seq | sequence | postgres | permanent   |               | 8192 bytes | 
 public | domain_analyses               | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | domain_analyses_id_seq        | sequence | postgres | permanent   |               | 8192 bytes | 
 public | domain_watchlist              | table    | postgres | permanent   | heap          | 0 bytes    | 
 public | domain_watchlist_id_seq       | sequence | postgres | permanent   |               | 8192 bytes | 
 public | drift_events                  | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | drift_events_id_seq           | sequence | postgres | permanent   |               | 8192 bytes | 
 public | drift_notifications           | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | drift_notifications_id_seq    | sequence | postgres | permanent   |               | 8192 bytes | 
 public | ice_maturity                  | table    | postgres | permanent   | heap          | 0 bytes    | 
 public | ice_maturity_id_seq           | sequence | postgres | permanent   |               | 8192 bytes | 
 public | ice_protocols                 | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | ice_protocols_id_seq          | sequence | postgres | permanent   |               | 8192 bytes | 
 public | ice_regressions               | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | ice_regressions_id_seq        | sequence | postgres | permanent   |               | 8192 bytes | 
 public | ice_results                   | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | ice_results_id_seq            | sequence | postgres | permanent   |               | 8192 bytes | 
 public | ice_test_runs                 | table    | postgres | permanent   | heap          | 0 bytes    | 
 public | ice_test_runs_id_seq          | sequence | postgres | permanent   |               | 8192 bytes | 
 public | icuae_dimension_scores        | table    | postgres | permanent   | heap          | 48 kB      | 
 public | icuae_dimension_scores_id_seq | sequence | postgres | permanent   |               | 8192 bytes | 
 public | icuae_scan_scores             | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | icuae_scan_scores_id_seq      | sequence | postgres | permanent   |               | 8192 bytes | 
 public | notification_endpoints        | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | notification_endpoints_id_seq | sequence | postgres | permanent   |               | 8192 bytes | 
 public | sessions                      | table    | postgres | permanent   | heap          | 0 bytes    | 
 public | site_analytics                | table    | postgres | permanent   | heap          | 16 kB      | 
 public | site_analytics_id_seq         | sequence | postgres | permanent   |               | 8192 bytes | 
 public | user_analyses                 | table    | postgres | permanent   | heap          | 0 bytes    | 
 public | user_analyses_id_seq          | sequence | postgres | permanent   |               | 8192 bytes | 
 public | users                         | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | users_id_seq                  | sequence | postgres | permanent   |               | 8192 bytes | 
 public | zone_imports                  | table    | postgres | permanent   | heap          | 8192 bytes | 
 public | zone_imports_id_seq           | sequence | postgres | permanent   |               | 8192 bytes | 
(38 rows)

